indice_tiempo,tipo_cambio_bna_vendedor
2015-01-01,8.82
2015-04-01,9.085
2015-07-01,9.425
2015-10-01,13.3
2016-01-01,14.8
2016-04-01,15.2
2016-07-01,15.5
2016-10-01,16.1
2017-01-01,15.55
2017-04-01,16.8
2017-07-01,17.5
2017-10-01,18.9
2018-01-01,20.4
2018-04-01,29.4
2018-07-01,42.1
2018-10-01,38.6
2019-01-01,44.3
2019-04-01,43.5
2019-07-01,59.0
2019-10-01,63.0
2020-01-01,65.75
2020-04-01,73.5
2020-07-01,80.0
2020-10-01,89.25
2021-01-01,97.5
2021-04-01,100.75
2021-07-01,104.0
2021-10-01,107.75
2022-01-01,116.0
2022-04-01,130.0
2022-07-01,153.25
2022-10-01,183.25
2023-01-01,215.5
2023-04-01,268.0
2023-07-01,365.5
