;Anio;Trimestre;Ingresos (miles de pesos);tipo_cambio_bna_vendedor;Ingresos (miles de usd);Acumulado;Ingresos (seg. inflacion)
0;2022;4;72443482,99;183,25;395325,96;8,3636;8661758,45
1;2022;3;64086784,33;153,25;418184,56;6,7815;9450237,31
2;2022;2;60419500,62;130,0;464765,39;6,0242;10029464,6
3;2022;1;55219313,01;116,0;476028,56;5,6121;9839331,62
4;2021;4;45467887,17;107,75;421975,75;4,9743;9140559,91
5;2021;3;42999944,29;104,0;413461,0;4,7948;8968037,1
6;2021;2;38239666,63;100,75;379550,04;4,6737;8181883,01
7;2021;1;36676371,36;97,5;376167,91;4,3031;8523244,02
8;2020;4;33539702,72;89,25;375794,99;3,6688;9141872,74
9;2020;3;31997444,53;80,0;399968,06;3,6947;8660363,37
10;2020;2;32102475,99;73,5;436768,38;3,6544;8784609,24
11;2020;1;29946216,45;65,75;455455,76;3,7841;7913695,85
12;2019;4;24169250,7;63,0;383638,9;3,4121;7083394,6
13;2019;3;21652748,44;59,0;366995,74;2,8843;7507106,9
14;2019;2;20743117,69;43,5;476853,28;2,6658;7781198,02
15;2019;1;20207413,77;44,3;456149,3;2,3577;8570816,38
16;2018;4;16637686,59;38,6;431028,15;2,0799;7999272,36
17;2018;3;15410980,69;42,1;366056,55;1,8619;8277018,47
18;2018;2;14319467,46;29,4;487056,72;1,6128;8878638,06
19;2018;1;13171459,23;20,4;645659,77;1,5307;8604860,02
20;2017;4;11226127,39;18,9;593974,99;1,3407;8373332,88
21;2017;3;10065997,86;17,5;575199,88;1,2432;8096845,13
22;2017;2;9678646,93;16,8;576109,94;1,2007;8060836,95
23;2017;1;8701201,42;15,55;559562,79;1,1076;7855905,94
24;2016;4;7483980,39;16,1;464843,5;;
25;2016;3;6912441,54;15,5;445963,97;;
26;2016;2;6534240,6;15,2;429884,25;;
27;2016;1;5936844,89;14,8;401138,17;;
28;2015;4;5376899,21;13,3;404278,14;;
29;2015;3;5153738,88;9,425;546815,8;;
30;2015;2;4701790,72;9,085;517533,38;;
31;2015;1;4876385,32;8,82;552878,15;;
32;2014;4;3950440,78;;;;
33;2014;3;3478637,74;;;;
34;2014;2;3270816,2;;;;
35;2014;1;2984054,21;;;;
